SMILES;Temperature;Energy
CC;90.35;-12.38234765
CC;105.705;-11.59910712
CC;121.06;-10.90369665
CC;136.415;-10.27811412
CC;151.77;-9.707487877
CC;167.125;-9.179006141
CC;182.48;-8.681188888
CC;197.835;-8.203319776
CC;213.19;-7.810205927
CC;228.545;-7.415040388
CC;243.9;-7.047146105
CC;259.255;-6.684677953
CC;274.61;-6.273691727
CC;289.965;-5.773515946
CC;305.32;-4.249502667
CCC;85.47;-17.74681654
CCC;105.7814286;-16.32882409
CCC;126.0928571;-15.10742699
CCC;146.4042857;-14.03957346
CCC;166.7157143;-13.0925203
CCC;187.0271429;-12.23985875
CCC;207.3385714;-11.45921472
CCC;227.65;-10.73074219
CCC;247.9614286;-10.03596074
CCC;268.2728571;-9.474156693
CCC;288.5842857;-8.920443842
CCC;308.8957143;-8.395662489
CCC;329.2071429;-7.835928092
CCC;349.5185714;-7.162824874
CCC;369.83;-5.215815949
CC(C)C;113.54;-19.5469703
CC(C)C;134.5585714;-17.89000784
CC(C)C;155.5771429;-16.49486157
CC(C)C;176.5957143;-15.30083035
CC(C)C;197.6142857;-14.26131005
CC(C)C;218.6328571;-13.33909771
CC(C)C;239.6514286;-12.50344398
CC(C)C;260.67;-11.72802797
CC(C)C;281.6885714;-11.06398479
CC(C)C;302.7071429;-10.419418
CC(C)C;323.7257143;-9.837139638
CC(C)C;344.7442857;-9.274891017
CC(C)C;365.7628571;-8.663593817
CC(C)C;386.7814286;-7.92831206
CC(C)C;407.8;-5.707909834
CCCC;134.86;-18.90286423
CCCC;155.5928571;-17.61509614
CCCC;176.3257143;-16.47065642
CCCC;197.0585714;-15.44238852
CCCC;217.7914286;-14.50753827
CCCC;238.5242857;-13.64633462
CCCC;259.2571429;-12.84099305
CCCC;279.99;-12.07492017
CCCC;300.7228571;-11.42811633
CCCC;321.4557143;-10.78694078
CCCC;342.1885714;-10.19930195
CCCC;362.9214286;-9.624597428
CCCC;383.6542857;-8.996056945
CCCC;404.3871429;-8.245367307
CCCC;425.12;-6.027438865
CC(CC1C)(CCC1)C;207.4;-28.50637794
CC(CC1C)(CCC1)C;224.2291667;-27.33302848
CC(CC1C)(CCC1)C;241.0583333;-26.22500198
CC(CC1C)(CCC1)C;257.8875;-25.17689603
CC(CC1C)(CCC1)C;274.7166667;-24.18386183
CC(CC1C)(CCC1)C;291.5458333;-23.24146563
CC(CC1C)(CCC1)C;308.375;-22.34557456
CC(CC1C)(CCC1)C;325.2041667;-21.49225858
CC(CC1C)(CCC1)C;342.0333333;-20.67770296
CC(CC1C)(CCC1)C;358.8625;-19.89812644
CC(CC1C)(CCC1)C;375.6916667;-19.14970124
CC(CC1C)(CCC1)C;392.5208333;-18.42847117
CC(CC1C)(CCC1)C;409.35;-17.7302636
CC(CC1C)(CCC1)C;426.1791667;-17.15116835
CC(CC1C)(CCC1)C;443.0083333;-16.5353289
CC(CC1C)(CCC1)C;459.8375;-15.9489653
CC(CC1C)(CCC1)C;476.6666667;-15.40428008
CC(CC1C)(CCC1)C;493.4958333;-14.87971373
CC(CC1C)(CCC1)C;510.325;-14.36267691
CC(CC1C)(CCC1)C;527.1541667;-13.84721686
CC(CC1C)(CCC1)C;543.9833333;-13.29473643
CC(CC1C)(CCC1)C;560.8125;-12.68757174
CC(CC1C)(CCC1)C;577.6416667;-12.00432478
CC(CC1C)(CCC1)C;594.4708333;-11.15957054
CC(CC1C)(CCC1)C;611.3;-8.613998657
CCCCC;143.42;-22.67837004
CCCCC;160.5926316;-21.39077395
CCCCC;177.7652632;-20.22459527
CCCCC;194.9378947;-19.16240371
CCCCC;212.1105263;-18.18928018
CCCCC;229.2831579;-17.29217179
CCCCC;246.4557895;-16.45943116
CCCCC;263.6284211;-15.68047135
CCCCC;280.8010526;-14.94549224
CCCCC;297.9736842;-14.24524731
CCCCC;315.1463158;-13.57082394
CCCCC;332.3189474;-13.00987125
