filename,smiles
0.json,CC1CCC1
1.json,N#[N+][O-]
2.json,O=S(=O)(F)F
3.json,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
4.json,BrBr
5.json,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21
6.json,CN(C)C
7.json,ClC(Cl)(Cl)Cl
8.json,II
9.json,C#C
10.json,CC(Cl)Cl
11.json,CC(CO)(CO)[N+](=O)[O-]
12.json,Clc1cccs1
13.json,CCCOC(=O)CC
14.json,C=C(C)OC(C)=O
15.json,CCCOC=O
16.json,Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-]
17.json,CCc1cccc(CC)c1
18.json,CC(=O)CCC=C(C)C
19.json,CCC(C)(C)C(C)C
20.json,CCCC(C)(C)CC
21.json,CCCCC(C)(C)C
22.json,C=C(C)C(C)(C)C
23.json,CCC(CC)C(C)C
24.json,CCCCSCC
25.json,CCc1ccc(C)c(C)c1
26.json,CCC(C)(CC)CC
27.json,CC(C)CC(C)C(C)C
28.json,CC(C)CCCC(C)C
29.json,CC1=C(C)CCCC1
30.json,CCCC1CCCCC1
31.json,ClC(Cl)=C(Cl)C(Cl)(Cl)Cl
32.json,CCc1cc(C)cc(CC)c1
33.json,C=C(C)CC(C)C
34.json,CCCC(C)=C(C)C
35.json,CC(C)C(C)(C)C(C)C
36.json,CCC1=CCCCC1
37.json,ClCC1CC1
38.json,CCC1CCCC1C
39.json,CC(C)C1CC1
40.json,CC#CCC(C)C
41.json,CCC1CCC1
42.json,CC=CCCC
43.json,COCCOC(C)=O
44.json,CCc1cccnc1
45.json,C1CCSC1
46.json,ClCBr
47.json,CC1CO1
48.json,C=CC(=C)C
49.json,CCC(C)OC(C)=O
50.json,CCCCCCC(=O)OCC
51.json,CCCC#N
52.json,CCSCC
53.json,CCSC
54.json,C#CCCCC
55.json,CCC#CCCCC
56.json,CCc1ccc(C)nc1
57.json,CCc1ccccc1Br
58.json,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
59.json,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
60.json,CCc1ccccc1
61.json,CCCCCl
62.json,C1=CCCC1
63.json,CCCCc1ccccc1
64.json,COCCO
65.json,CC1=CC(=O)CC(C)(C)C1
66.json,BrCCBr
67.json,C=CCCCCCCCCCCCCCC
68.json,CCCCCCCCCCCCCCC
69.json,CC(C)OC(=O)/C=C/C(=O)OC(C)C
70.json,CCc1ccccn1
71.json,ClCCCBr
72.json,COC(=O)C(Cl)Cl
73.json,CC(c1ccccc1)c1ccccc1
74.json,CCc1ccc(C)cc1C
75.json,CCC(CC)(CC)CC
76.json,C=Cc1ccccc1Cl
77.json,CCCCCCCCCS
78.json,CCCCCCCCC(C)C
79.json,O=S(=O)(Cl)Cl
80.json,NCc1cccnc1
81.json,COC(=O)CCl
82.json,CC(=O)OCCc1ccccc1
83.json,CC(C)c1cccc(C(C)C)c1
84.json,Cc1cccnc1
85.json,CCCCCCCCCCCCCCCC
86.json,C1CC[C@H]2CCCC[C@H]2C1
87.json,COC(=O)CC(=O)OC
88.json,CCc1ccc2ccccc2c1
89.json,CC1CC1
90.json,O=[N+]([O-])c1cccc(S(=O)(=O)Cl)c1
91.json,CCc1ccc(CC)cc1
92.json,CC(F)(F)Cl
93.json,O=C=S
94.json,CC1CC=CC1
95.json,CCC1(C)CCCC1
96.json,CCC1CC1
97.json,CCC1(C)CC1
98.json,CC1CC1(C)C
99.json,C=CC=CC
99.json,CCc1ccccc1Br
100.json,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
101.json,CCc1ccccc1
102.json,CCCCc1ccccc1
103.json,CC(c1ccccc1)c1ccccc1
104.json,CC(=O)OCCc1ccccc1
105.json,Cc1cccc(C)c1I
106.json,Cc1ccccc1C
107.json,C=C(C)c1ccccc1
108.json,CCc1ccccc1CC
109.json,N#CCc1ccccc1
110.json,OCc1ccccc1
111.json,Cc1ccccc1-c1ccccc1
112.json,CC(C)(C)c1ccccc1O
113.json,CCC(=O)c1ccc(C)cc1
114.json,Fc1ccc(-c2ccccc2)cc1
115.json,C#Cc1ccccc1
116.json,COC(=O)c1ccc(I)cc1
117.json,O=C(O)CCCC(=O)c1ccccc1
118.json,Nc1ccccc1
119.json,N#CC(c1ccccc1)c1ccccc1
120.json,O=C(Cl)c1cc(C(=O)Cl)cc(C(=O)Cl)c1
121.json,CCc1ccccc1Cl
122.json,CC(=O)OCc1ccccc1
123.json,CC(=O)OO
124.json,Ic1ccccc1
125.json,N#Cc1ccccc1
126.json,NC(=O)c1cccc(Br)c1
127.json,CCOC(=O)Cc1ccccc1
128.json,CCCCOc1ccccc1
129.json,Brc1ccccc1
130.json,CC(=O)O
131.json,CCCCC(=O)c1ccccc1
132.json,Cc1ccccc1Cc1ccccc1
133.json,CCC(=O)O
134.json,Cc1ccc(Cc2ccccc2)cc1
135.json,NCC(O)c1ccccc1
136.json,O=C(O)c1ccccn1
137.json,O=C(O)Cc1ccc(-c2ccccc2)cc1
138.json,CC(=O)NBr
139.json,O=C1c2ccccc2C(=O)C1c1ccccc1
140.json,Cc1cccc(C(=O)O)c1O
141.json,O=C(Nc1ccccc1)c1ccccc1O
142.json,CC(=O)c1cccs1
